,0
1,0.015171222171544763
2,0.0006827615258062636
3,0.0018637056296828547
4,0.0
5,0.0009516921819656687
6,0.0
8,0.0001302903651101417
9,0.013460058043318845
10,0.0
11,0.0009539607748134671
12,0.014684340857957778
13,0.0
14,0.0027399342384404335
15,0.0005883327270774785
16,0.0006775397865110833
17,0.0
18,0.0
19,0.010817309443506673
20,0.0017429560660513488
22,0.007287512518432848
23,0.006247146934867054
24,0.016241334069356128
25,0.0009957053770408564
26,0.0024792517730460872
28,0.009418174013392289
29,0.00402719985186728
30,0.002862263629578088
32,0.010670989029492262
33,0.006127667311667473
34,0.0
35,0.0010046177670579581
36,0.0004957222648318549
37,0.0025930282121073844
